Weight	Nested	Procedure	subjectID	event_code	block_nr	block_outcome	block_wiggleroom	sequence_nr	sequence_difficulty	sequence_feedback	sequence_feedback_scaled	trial_nr	trial_difficulty	color_difficulta	correct_key
1		gridBlockStartProc	5	1	1	1	0	0	0	0	0	0	0	0	0
1		gridSequenceStartProc	5	3	1	1	0	1	0.3410344827586207	0	0	0	0	0	0
1		gridTrialProc	5	5	1	1	0	1	0.3410344827586207	0	0	1	0.3249372948827837	1	6
1		gridTrialProc	5	5	1	1	0	1	0.3410344827586207	0	0	2	0.27973609265784416	2	4
1		gridTrialProc	5	5	1	1	0	1	0.3410344827586207	0	0	3	0.3702728528696555	2	4
1		gridTrialProc	5	5	1	1	0	1	0.3410344827586207	0	0	4	0.284065026552843	1	6
1		gridTrialProc	5	5	1	1	0	1	0.3410344827586207	0	0	5	0.3655184397941615	2	4
1		gridTrialProc	5	5	1	1	0	1	0.3410344827586207	0	0	6	0.4490241710049748	1	6
1		gridTrialProc	5	5	1	1	0	1	0.3410344827586207	0	0	7	0.2498869208670086	2	4
1		gridTrialProc	5	5	1	1	0	1	0.3410344827586207	0	0	8	0.3229169418267009	2	4
1		gridTrialProc	5	5	1	1	0	1	0.3410344827586207	0	0	9	0.42154130645834903	1	6
1		gridTrialProc	5	5	1	1	0	1	0.3410344827586207	0	0	10	0.47215556657586033	2	4
1		gridSequenceEndProc	5	4	1	1	0	1	0.3410344827586207	0.19001261878968956	0.1710113569107206	0	0	0	0
1		gridSequenceStartProc	5	3	1	1	0	2	0.4568965517241379	0	0	0	0	0	0
1		gridTrialProc	5	5	1	1	0	2	0.4568965517241379	0	0	1	0.378771806970581	2	4
1		gridTrialProc	5	5	1	1	0	2	0.4568965517241379	0	0	2	0.6088358184889863	2	6
1		gridTrialProc	5	5	1	1	0	2	0.4568965517241379	0	0	3	0.3887493742396634	2	4
1		gridTrialProc	5	5	1	1	0	2	0.4568965517241379	0	0	4	0.4843611418664308	1	6
1		gridTrialProc	5	5	1	1	0	2	0.4568965517241379	0	0	5	0.4646699189748676	2	4
1		gridTrialProc	5	5	1	1	0	2	0.4568965517241379	0	0	6	0.4348561833245702	2	4
