Weight	Nested	Procedure	subjectID	event_code	block_nr	block_outcome	block_wiggleroom	sequence_nr	sequence_difficulty	sequence_feedback	sequence_feedback_scaled	trial_nr	trial_difficulty	color_difficulta	correct_key
1		gridBlockStartProc	10	1	1	-1	0	0	0	0	0	0	0	0	0
1		gridSequenceStartProc	10	3	1	-1	0	1	0.44862068965517243	0	0	0	0	0	0
1		gridTrialProc	10	5	1	-1	0	1	0.44862068965517243	0	0	1	0.6443778528049462	2	4
1		gridTrialProc	10	5	1	-1	0	1	0.44862068965517243	0	0	2	0.5698739191148587	2	4
1		gridTrialProc	10	5	1	-1	0	1	0.44862068965517243	0	0	3	0.30757941483131734	2	6
1		gridTrialProc	10	5	1	-1	0	1	0.44862068965517243	0	0	4	0.43726432326227965	1	4
1		gridTrialProc	10	5	1	-1	0	1	0.44862068965517243	0	0	5	0.35462270179869293	1	4
1		gridTrialProc	10	5	1	-1	0	1	0.44862068965517243	0	0	6	0.5401348310186908	2	4
1		gridTrialProc	10	5	1	-1	0	1	0.44862068965517243	0	0	7	0.5607218279740298	1	6
1		gridTrialProc	10	5	1	-1	0	1	0.44862068965517243	0	0	8	0.4777108532202674	2	6
1		gridTrialProc	10	5	1	-1	0	1	0.44862068965517243	0	0	9	0.3885813866921659	1	4
1		gridTrialProc	10	5	1	-1	0	1	0.44862068965517243	0	0	10	0.7016214211048758	2	4
1		gridSequenceEndProc	10	4	1	-1	0	1	0.44862068965517243	-0.5339463890229041	-0.48055175012061374	0	0	0	0
1		gridSequenceStartProc	10	3	1	-1	0	2	0.33275862068965517	0	0	0	0	0	0
1		gridTrialProc	10	5	1	-1	0	2	0.33275862068965517	0	0	1	0.40339778290823824	1	4
1		gridTrialProc	10	5	1	-1	0	2	0.33275862068965517	0	0	2	0.2516922287290908	1	4
1		gridTrialProc	10	5	1	-1	0	2	0.33275862068965517	0	0	3	0.38284108322972615	2	6
1		gridTrialProc	10	5	1	-1	0	2	0.33275862068965517	0	0	4	0.386753533009785	1	4
1		gridTrialProc	10	5	1	-1	0	2	0.33275862068965517	0	0	5	0.2431138776464068	2	6
1		gridTrialProc	10	5	1	-1	0	2	0.33275862068965517	0	0	6	0.25766158308219717	2	6
1		gridTrialProc	10	5	1	-1	0	2	0.33275862068965517	0	0	7	0.4333117211678985	1	4
1		gridTrialProc	10	5	1	-1	0	2	0.33275862068965517	0	0	8	0.46025860548385544	2	6
1		gridTrialProc	10	5	1	-1	0	2	0.33275862068965517	0	0	9	0.3479072474156287	2	6
1		gridTrialProc	10	5	1	-1	0	2	0.33275862068965517	0	0	10	0.28012492764341057	2	6
1		gridSequenceEndProc	10	4	1	-1	0	2	0.33275862068965517	0.2646431064670686	0.22932596490271165	0	0	0	0
1		gridSequenceStartProc	10	3	1	-1	0	3	0.35758620689655174	0	0	0	0	0	0
1		gridTrialProc	10	5	1	-1	0	3	0.35758620689655174	0	0	1	0.3763690745298129	2	6
1		gridTrialProc	10	5	1	-1	0	3	0.35758620689655174	0	0	2	0.3203852429900783	1	4
1		gridTrialProc	10	5	1	-1	0	3	0.35758620689655174	0	0	3	0.32089109607197375	2	6
